ECFP4_Fingerprint_component	sign_Log2FC	rank_sum	rank_sum_rank
ECFP4_0930	1	5596	985
ECFP4_1016	1	5591	984
ECFP4_0285	-1	5590	983
ECFP4_0104	-1	5578	982
ECFP4_1079	-1	5575	981
ECFP4_0063	1	5573	980
ECFP4_1894	1	5569	979
ECFP4_1378	1	5566	978
ECFP4_0394	-1	5562	977
ECFP4_1807	1	5558	976
ECFP4_1301	1	5555	975
ECFP4_0126	1	5553	974
ECFP4_0472	1	5548	973
ECFP4_1084	-1	5546	972
ECFP4_1821	1	5542	971
ECFP4_1524	1	5539	970
ECFP4_0649	1	5538	969
ECFP4_0295	-1	5525	968
ECFP4_1641	1	5523	967
ECFP4_0089	1	5516	966
ECFP4_1746	1	5511	965
ECFP4_0096	1	5507	964
ECFP4_1234	1	5506	963
ECFP4_0152	1	5499	961
ECFP4_0712	1	5499	961
ECFP4_0949	1	5495	960
ECFP4_1413	1	5486	959
ECFP4_0032	1	5476	958
ECFP4_0983	1	5453	956
ECFP4_2012	1	5453	956
ECFP4_0065	1	5444	955
ECFP4_1414	1	5443	954
ECFP4_0361	1	5442	953
ECFP4_0538	1	5441	952
ECFP4_0797	-1	5439	951
ECFP4_0143	-1	5437	950
ECFP4_0048	-1	5435	948
ECFP4_0779	1	5435	948
ECFP4_0426	-1	5434	947
ECFP4_0481	-1	5431	946
ECFP4_1565	1	5430	945
ECFP4_1496	1	5427	944
ECFP4_1663	1	5421	943
ECFP4_1545	-1	5413	942
ECFP4_1047	1	5410	941
ECFP4_1411	1	5408	940
ECFP4_1530	1	5403	939
ECFP4_0051	1	5402	938
ECFP4_1098	1	5388	937
ECFP4_0155	-1	5381	936
ECFP4_1903	-1	5377	935
ECFP4_1792	-1	5374	934
ECFP4_1209	-1	5370	933
ECFP4_0156	1	5368	932
ECFP4_1672	1	5364	931
ECFP4_0272	1	5363	930
ECFP4_1081	1	5348	929
ECFP4_0382	1	5342	928
ECFP4_0277	-1	5339	927
ECFP4_1424	-1	5326	926
ECFP4_0829	1	5325	925
ECFP4_1461	1	5317	924
ECFP4_0409	1	5314	923
ECFP4_0000	1	5311	922
ECFP4_0754	-1	5305	919
ECFP4_1358	1	5305	919
ECFP4_1571	1	5305	919
ECFP4_1377	1	5303	917
ECFP4_1973	1	5303	917
ECFP4_0018	-1	5297	916
ECFP4_0421	1	5296	915
ECFP4_1120	1	5293	914
ECFP4_1087	1	5287	913
ECFP4_0340	1	5282	912
ECFP4_1867	-1	5279	911
ECFP4_1732	1	5273	909
ECFP4_1802	1	5273	909
ECFP4_0201	1	5269	908
ECFP4_1625	1	5263	907
ECFP4_1528	1	5260	906
ECFP4_1621	1	5253	905
ECFP4_0332	-1	5250	903
ECFP4_1642	-1	5250	903
ECFP4_0052	1	5244	902
ECFP4_1630	1	5239	901
ECFP4_0761	1	5232	900
ECFP4_1148	1	5227	899
ECFP4_0004	-1	5224	898
ECFP4_2017	1	5222	897
ECFP4_0054	1	5221	896
ECFP4_0506	-1	5217	895
ECFP4_1568	-1	5215	894
ECFP4_0286	1	5209	893
ECFP4_0356	1	5203	891
ECFP4_0780	1	5203	891
ECFP4_1297	1	5199	889
ECFP4_1612	1	5199	889
ECFP4_1577	-1	5198	888
ECFP4_0290	-1	5192	886
ECFP4_0623	1	5192	886
ECFP4_0639	1	5191	885
ECFP4_0186	1	5189	883
ECFP4_0254	-1	5189	883
ECFP4_0428	-1	5188	882
ECFP4_0469	-1	5186	881
ECFP4_0568	1	5185	880
ECFP4_0765	1	5184	879
ECFP4_1787	1	5182	878
ECFP4_1167	-1	5180	877
ECFP4_0299	1	5176	876
ECFP4_0513	1	5175	875
ECFP4_1116	1	5171	874
ECFP4_1859	1	5170	873
ECFP4_0657	1	5169	872
ECFP4_1686	-1	5168	871
ECFP4_0911	-1	5167	870
ECFP4_1296	1	5165	869
ECFP4_1445	1	5154	868
ECFP4_0589	1	5141	864
ECFP4_1426	1	5141	864
ECFP4_1912	-1	5141	864
ECFP4_2015	1	5141	864
ECFP4_1710	1	5140	863
ECFP4_1262	-1	5136	862
ECFP4_0498	1	5130	861
ECFP4_0731	1	5107	860
ECFP4_1864	1	5101	859
ECFP4_0971	1	5099	858
ECFP4_0101	1	5092	856
ECFP4_1605	-1	5092	856
ECFP4_1399	-1	5086	855
ECFP4_1622	1	5074	854
ECFP4_1839	-1	5073	853
ECFP4_0085	1	5058	852
ECFP4_0611	1	5057	851
ECFP4_0121	-1	5056	849
ECFP4_1590	-1	5056	849
ECFP4_0293	1	5054	848
ECFP4_1529	1	5049	847
ECFP4_1355	1	5046	846
ECFP4_1656	1	5026	845
ECFP4_1479	1	5015	844
ECFP4_1633	-1	5013	843
ECFP4_1778	1	5009	842
ECFP4_0020	1	5006	841
ECFP4_0648	1	5003	839
ECFP4_1110	-1	5003	839
ECFP4_0123	-1	4999	838
ECFP4_1505	1	4996	836
ECFP4_1676	1	4996	836
ECFP4_0931	1	4994	834
ECFP4_2014	1	4994	834
ECFP4_1609	1	4988	833
ECFP4_0185	1	4982	832
ECFP4_1423	-1	4980	831
ECFP4_1009	1	4975	830
ECFP4_1845	-1	4971	829
ECFP4_1752	1	4966	828
ECFP4_0082	1	4962	827
ECFP4_1822	1	4954	826
ECFP4_1661	-1	4936	825
ECFP4_1099	-1	4931	824
ECFP4_0263	1	4930	823
ECFP4_2019	1	4925	822
ECFP4_1649	-1	4922	821
ECFP4_0275	1	4920	819
ECFP4_1033	1	4920	819
ECFP4_0087	1	4918	818
ECFP4_0880	1	4914	817
ECFP4_0458	1	4913	816
ECFP4_1678	-1	4905	815
ECFP4_1600	1	4893	814
ECFP4_0265	-1	4891	813
ECFP4_1227	1	4889	812
ECFP4_1906	1	4888	811
ECFP4_0806	1	4883	808
ECFP4_0948	1	4883	808
ECFP4_1772	1	4883	808
ECFP4_0365	-1	4882	806
ECFP4_1704	1	4882	806
ECFP4_1138	-1	4880	805
ECFP4_0564	-1	4874	803
ECFP4_1232	-1	4874	803
ECFP4_0161	1	4871	802
ECFP4_0696	1	4870	801
ECFP4_0882	1	4866	799
ECFP4_0917	-1	4866	799
ECFP4_0592	1	4864	798
ECFP4_1214	-1	4862	797
ECFP4_0303	-1	4860	796
ECFP4_0586	-1	4859	794
ECFP4_1420	-1	4859	794
ECFP4_1100	-1	4855	793
ECFP4_1197	-1	4847	792
ECFP4_1588	1	4843	791
ECFP4_1155	-1	4839	790
ECFP4_0866	1	4837	789
ECFP4_0733	-1	4835	788
ECFP4_1516	1	4834	787
ECFP4_1643	1	4832	785
ECFP4_1819	-1	4832	785
ECFP4_1008	1	4831	784
ECFP4_0311	-1	4826	783
ECFP4_0017	-1	4822	782
ECFP4_0582	1	4820	781
ECFP4_0208	1	4817	780
ECFP4_0720	1	4814	779
ECFP4_1918	-1	4806	778
ECFP4_0988	1	4789	777
ECFP4_0083	1	4786	776
ECFP4_1015	-1	4781	775
ECFP4_1595	1	4777	774
ECFP4_1644	1	4776	773
ECFP4_1715	-1	4775	772
ECFP4_1187	1	4771	771
ECFP4_0977	-1	4760	770
ECFP4_1247	1	4758	769
ECFP4_0853	1	4744	768
ECFP4_1454	1	4743	767
ECFP4_1093	1	4733	766
ECFP4_0929	1	4729	765
ECFP4_0871	1	4723	764
ECFP4_1790	-1	4721	763
ECFP4_1191	1	4719	762
ECFP4_1221	-1	4717	761
ECFP4_0621	-1	4714	760
ECFP4_1944	1	4713	759
ECFP4_0716	-1	4711	758
ECFP4_0019	-1	4710	757
ECFP4_1289	1	4709	756
ECFP4_0796	1	4707	755
ECFP4_1992	-1	4696	754
ECFP4_0532	-1	4691	753
ECFP4_1935	-1	4688	752
ECFP4_0433	-1	4682	751
ECFP4_1092	1	4679	750
ECFP4_1700	-1	4676	749
ECFP4_1395	1	4672	748
ECFP4_0296	1	4668	747
ECFP4_0604	1	4665	746
ECFP4_0493	1	4662	745
ECFP4_1811	1	4649	744
ECFP4_1153	-1	4638	743
ECFP4_0817	1	4637	742
ECFP4_0727	1	4631	741
ECFP4_0363	-1	4624	740
ECFP4_0045	-1	4619	739
ECFP4_0608	1	4611	738
ECFP4_0740	1	4606	737
ECFP4_1142	1	4603	736
ECFP4_0037	1	4601	735
ECFP4_1071	1	4599	734
ECFP4_0364	-1	4592	733
ECFP4_1024	-1	4591	732
ECFP4_1964	1	4585	731
ECFP4_0192	1	4583	729
ECFP4_1215	1	4583	729
ECFP4_0461	-1	4580	728
ECFP4_0825	1	4579	727
ECFP4_0600	-1	4578	725
ECFP4_0906	-1	4578	725
ECFP4_0390	1	4577	724
ECFP4_0876	1	4566	722
ECFP4_1826	1	4566	722
ECFP4_0007	1	4553	720
ECFP4_0436	1	4553	720
ECFP4_0056	1	4552	719
ECFP4_2047	1	4549	718
ECFP4_1865	-1	4548	717
ECFP4_1834	-1	4547	716
ECFP4_0764	-1	4546	714
ECFP4_1858	-1	4546	714
ECFP4_1877	-1	4540	713
ECFP4_0300	1	4526	712
ECFP4_0313	1	4524	711
ECFP4_0730	1	4523	710
ECFP4_1273	-1	4514	708
ECFP4_1857	1	4514	708
ECFP4_1316	1	4510	707
ECFP4_0605	-1	4500	706
ECFP4_0062	-1	4498	705
ECFP4_0578	1	4497	704
ECFP4_0151	1	4492	702
ECFP4_0952	-1	4492	702
ECFP4_1127	1	4488	701
ECFP4_1371	1	4487	700
ECFP4_0964	-1	4486	698
ECFP4_1383	1	4486	698
ECFP4_1284	-1	4482	697
ECFP4_1513	-1	4478	696
ECFP4_0744	1	4467	694
ECFP4_2008	-1	4467	694
ECFP4_0489	1	4461	693
ECFP4_0916	-1	4455	691
ECFP4_1515	1	4455	691
ECFP4_0457	1	4446	690
ECFP4_1881	1	4440	689
ECFP4_1466	-1	4439	688
ECFP4_1931	1	4437	687
ECFP4_0784	-1	4429	686
ECFP4_1113	1	4425	685
ECFP4_0435	1	4416	683
ECFP4_1768	-1	4416	683
ECFP4_1364	1	4411	682
ECFP4_0173	1	4410	681
ECFP4_1207	1	4401	680
ECFP4_1211	-1	4400	679
ECFP4_0040	1	4392	678
ECFP4_0671	1	4391	677
ECFP4_1512	-1	4388	676
ECFP4_1069	1	4386	675
ECFP4_1299	-1	4385	673
ECFP4_1957	1	4385	673
ECFP4_0990	1	4383	672
ECFP4_0059	1	4372	671
ECFP4_0074	-1	4370	670
ECFP4_0182	1	4364	669
ECFP4_0519	1	4360	668
ECFP4_1049	1	4358	667
ECFP4_1290	1	4356	666
ECFP4_1287	1	4353	665
ECFP4_1306	1	4352	664
ECFP4_0579	-1	4348	663
ECFP4_0515	1	4344	662
ECFP4_0380	-1	4343	660
ECFP4_0985	1	4343	660
ECFP4_1862	1	4327	659
ECFP4_1596	1	4325	658
ECFP4_1112	1	4308	657
ECFP4_0220	1	4298	655
ECFP4_2011	1	4298	655
ECFP4_1907	1	4283	654
ECFP4_1337	1	4281	653
ECFP4_0551	-1	4280	652
ECFP4_0867	-1	4279	651
ECFP4_0298	-1	4277	650
ECFP4_1614	1	4276	649
ECFP4_0633	1	4274	648
ECFP4_1404	1	4270	647
ECFP4_1640	-1	4268	646
ECFP4_0274	1	4267	645
ECFP4_0833	-1	4253	644
ECFP4_1854	1	4243	643
ECFP4_0174	1	4229	642
ECFP4_0109	1	4224	641
ECFP4_1421	1	4223	640
ECFP4_1046	1	4222	638
ECFP4_1217	1	4222	638
ECFP4_1281	1	4220	637
ECFP4_1996	-1	4218	636
ECFP4_0175	1	4216	634
ECFP4_0972	1	4216	634
ECFP4_0555	1	4209	633
ECFP4_1976	-1	4207	632
ECFP4_1924	1	4204	631
ECFP4_0401	1	4202	630
ECFP4_0943	1	4201	629
ECFP4_1173	-1	4190	628
ECFP4_0431	1	4189	627
ECFP4_0329	1	4186	626
ECFP4_1833	1	4177	625
ECFP4_0503	-1	4174	624
ECFP4_0153	1	4163	623
ECFP4_2035	-1	4160	622
ECFP4_1728	1	4152	621
ECFP4_1887	1	4151	620
ECFP4_1050	1	4148	619
ECFP4_1629	1	4140	618
ECFP4_0959	-1	4138	617
ECFP4_1495	1	4129	616
ECFP4_1144	-1	4118	615
ECFP4_1868	1	4106	614
ECFP4_0112	-1	4105	613
ECFP4_0783	-1	4103	612
ECFP4_1702	1	4097	611
ECFP4_0315	-1	4093	609
ECFP4_0663	1	4093	609
ECFP4_0565	1	4092	608
ECFP4_1948	-1	4090	607
ECFP4_0872	1	4088	606
ECFP4_1936	1	4083	605
ECFP4_0827	-1	4082	604
ECFP4_0707	1	4081	603
ECFP4_1889	1	4077	602
ECFP4_0826	1	4074	601
ECFP4_0400	-1	4073	600
ECFP4_1149	-1	4066	599
ECFP4_0912	1	4064	598
ECFP4_0669	1	4052	597
ECFP4_1165	1	4046	596
ECFP4_1073	1	4042	595
ECFP4_0642	-1	4036	594
ECFP4_1749	-1	4035	593
ECFP4_0537	1	4034	591
ECFP4_0683	1	4034	591
ECFP4_1266	-1	4032	590
ECFP4_0099	-1	4026	588
ECFP4_0266	1	4026	588
ECFP4_0752	1	4023	586
ECFP4_1051	1	4023	586
ECFP4_0946	-1	4017	585
ECFP4_1653	-1	4015	584
ECFP4_1253	-1	4012	583
ECFP4_1860	-1	4011	582
ECFP4_1579	1	4010	580
ECFP4_1914	1	4010	580
ECFP4_1836	1	4003	579
ECFP4_1654	1	3999	578
ECFP4_0408	-1	3998	577
ECFP4_1994	1	3990	576
ECFP4_0308	1	3989	575
ECFP4_0704	1	3985	574
ECFP4_1694	1	3967	573
ECFP4_0179	-1	3965	572
ECFP4_0509	1	3956	571
ECFP4_0533	-1	3954	569
ECFP4_0626	-1	3954	569
ECFP4_0539	-1	3949	568
ECFP4_1717	-1	3948	566
ECFP4_1829	1	3948	566
ECFP4_1986	1	3947	565
ECFP4_0268	-1	3934	564
ECFP4_0636	1	3928	563
ECFP4_0678	1	3926	562
ECFP4_0223	1	3920	561
ECFP4_1549	1	3917	560
ECFP4_0250	-1	3914	559
ECFP4_1472	-1	3906	558
ECFP4_1547	1	3904	557
ECFP4_0097	-1	3902	556
ECFP4_1161	1	3901	555
ECFP4_1932	1	3899	554
ECFP4_0267	1	3893	553
ECFP4_1830	-1	3890	552
ECFP4_1680	-1	3878	551
ECFP4_0203	1	3871	550
ECFP4_1546	1	3867	549
ECFP4_1328	1	3863	548
ECFP4_0595	1	3858	547
ECFP4_1465	1	3856	546
ECFP4_0321	-1	3855	544
ECFP4_1503	-1	3855	544
ECFP4_0575	1	3847	543
ECFP4_0549	1	3846	542
ECFP4_0035	1	3842	540
ECFP4_0850	1	3842	540
ECFP4_1263	1	3837	539
ECFP4_1610	1	3831	538
ECFP4_0857	-1	3827	537
ECFP4_1061	1	3825	536
ECFP4_1784	-1	3822	535
ECFP4_1534	1	3812	534
ECFP4_1888	1	3803	533
ECFP4_0133	1	3791	532
ECFP4_1776	1	3789	531
ECFP4_1759	-1	3788	530
ECFP4_1675	1	3787	529
ECFP4_0979	1	3786	528
ECFP4_0928	1	3781	527
ECFP4_1519	1	3773	526
ECFP4_1012	1	3771	525
ECFP4_1335	1	3770	524
ECFP4_1660	1	3769	523
ECFP4_0166	1	3765	522
ECFP4_0399	1	3760	519
ECFP4_1269	1	3760	519
ECFP4_2042	1	3760	519
ECFP4_1626	1	3757	518
ECFP4_0475	-1	3756	517
ECFP4_1276	1	3753	516
ECFP4_0115	-1	3734	515
ECFP4_1570	-1	3732	512
ECFP4_1997	-1	3732	512
ECFP4_2044	-1	3732	512
ECFP4_0449	1	3729	511
ECFP4_0088	1	3727	510
ECFP4_0687	1	3726	509
ECFP4_0643	1	3724	508
ECFP4_0860	1	3716	507
ECFP4_0049	1	3707	506
ECFP4_0226	-1	3702	505
ECFP4_0632	1	3701	503
ECFP4_0741	1	3701	503
ECFP4_1327	1	3698	502
ECFP4_1350	1	3697	501
ECFP4_0627	1	3695	499
ECFP4_1473	-1	3695	499
ECFP4_1412	1	3691	498
ECFP4_0342	1	3690	497
ECFP4_0499	-1	3680	496
ECFP4_1815	-1	3676	495
ECFP4_1256	-1	3675	494
ECFP4_1111	1	3672	493
ECFP4_1361	1	3669	492
ECFP4_0550	-1	3666	491
ECFP4_1086	1	3659	490
ECFP4_0510	-1	3655	489
ECFP4_1707	1	3654	488
ECFP4_1324	1	3651	487
ECFP4_0271	-1	3649	486
ECFP4_1743	1	3646	485
ECFP4_1068	-1	3640	483
ECFP4_1828	-1	3640	483
ECFP4_1067	1	3634	481
ECFP4_1379	-1	3634	481
ECFP4_0630	1	3629	479
ECFP4_1527	-1	3629	479
ECFP4_1007	1	3624	478
ECFP4_1719	-1	3621	477
ECFP4_0908	-1	3620	476
ECFP4_0282	-1	3611	474
ECFP4_1651	-1	3611	474
ECFP4_0793	1	3601	473
ECFP4_0372	1	3599	472
ECFP4_0617	-1	3596	471
ECFP4_1966	-1	3594	470
ECFP4_0095	-1	3586	469
ECFP4_0053	-1	3582	468
ECFP4_0379	-1	3572	467
ECFP4_1514	-1	3567	466
ECFP4_0009	-1	3564	465
ECFP4_1531	1	3562	464
ECFP4_1899	1	3558	463
ECFP4_0100	1	3554	462
ECFP4_0700	1	3549	459
ECFP4_0847	-1	3549	459
ECFP4_1872	1	3549	459
ECFP4_0682	1	3539	458
ECFP4_2001	1	3533	457
ECFP4_1244	-1	3516	456
ECFP4_1044	1	3512	455
ECFP4_0348	1	3510	454
ECFP4_1521	-1	3507	453
ECFP4_1947	1	3501	452
ECFP4_1846	1	3498	451
ECFP4_0450	1	3496	450
ECFP4_0488	1	3495	449
ECFP4_1150	-1	3492	448
ECFP4_1489	1	3486	447
ECFP4_0158	1	3484	446
ECFP4_0670	1	3480	445
ECFP4_2025	1	3478	444
ECFP4_1074	1	3476	443
ECFP4_0388	-1	3467	442
ECFP4_0620	1	3464	441
ECFP4_0590	-1	3463	440
ECFP4_0068	-1	3462	439
ECFP4_1913	1	3457	438
ECFP4_0336	1	3452	437
ECFP4_0799	-1	3451	436
ECFP4_1396	-1	3444	435
ECFP4_1104	-1	3440	434
ECFP4_1216	1	3438	433
ECFP4_0353	1	3434	431
ECFP4_0958	1	3434	431
ECFP4_1967	1	3430	430
ECFP4_1739	1	3427	429
ECFP4_0181	1	3425	428
ECFP4_2013	-1	3422	427
ECFP4_1311	-1	3419	426
ECFP4_0534	1	3416	423
ECFP4_1133	1	3416	423
ECFP4_1667	-1	3416	423
ECFP4_1193	-1	3411	422
ECFP4_1303	1	3408	421
ECFP4_1341	-1	3407	420
ECFP4_0723	1	3403	419
ECFP4_1774	-1	3401	418
ECFP4_0214	-1	3400	417
ECFP4_0149	-1	3394	416
ECFP4_1041	1	3393	415
ECFP4_0904	1	3391	414
ECFP4_0535	1	3389	412
ECFP4_1205	1	3389	412
ECFP4_0038	-1	3386	411
ECFP4_0189	1	3380	410
ECFP4_0702	1	3379	409
ECFP4_1601	1	3360	408
ECFP4_0729	1	3356	406
ECFP4_1478	1	3356	406
ECFP4_1402	-1	3349	405
ECFP4_0542	1	3345	404
ECFP4_0357	1	3343	403
ECFP4_0685	-1	3335	402
ECFP4_0584	1	3325	400
ECFP4_0722	1	3325	400
ECFP4_0877	1	3318	399
ECFP4_1666	1	3315	398
ECFP4_0768	-1	3314	396
ECFP4_1389	-1	3314	396
ECFP4_1987	1	3311	395
ECFP4_1372	1	3307	394
ECFP4_1983	-1	3297	393
ECFP4_0070	1	3295	392
ECFP4_0411	1	3283	391
ECFP4_1548	1	3282	390
ECFP4_1498	1	3280	389
ECFP4_1701	1	3276	388
ECFP4_1758	1	3268	387
ECFP4_1422	1	3267	386
ECFP4_1336	1	3264	385
ECFP4_1540	-1	3260	384
ECFP4_1463	1	3256	383
ECFP4_1484	1	3252	382
ECFP4_1681	1	3247	381
ECFP4_0921	-1	3238	380
ECFP4_0637	1	3237	379
ECFP4_0194	1	3230	378
ECFP4_1348	-1	3229	377
ECFP4_1995	1	3228	376
ECFP4_0195	1	3212	375
ECFP4_0355	-1	3211	374
ECFP4_1331	1	3197	373
ECFP4_1425	1	3194	372
ECFP4_0823	1	3188	371
ECFP4_0892	-1	3183	370
ECFP4_0613	1	3176	367
ECFP4_1652	1	3176	367
ECFP4_1711	1	3176	367
ECFP4_1794	-1	3174	366
ECFP4_1952	1	3155	365
ECFP4_0973	1	3152	364
ECFP4_1761	1	3146	363
ECFP4_0047	1	3139	361
ECFP4_0406	1	3139	361
ECFP4_0479	1	3131	360
ECFP4_0138	-1	3127	359
ECFP4_1979	1	3125	358
ECFP4_0198	1	3122	356
ECFP4_1812	-1	3122	356
ECFP4_0234	1	3115	355
ECFP4_0688	1	3110	354
ECFP4_1353	1	3105	353
ECFP4_1393	-1	3104	352
ECFP4_0128	-1	3101	349
ECFP4_0240	-1	3101	349
ECFP4_1108	-1	3101	349
ECFP4_1594	-1	3073	348
ECFP4_0993	1	3072	347
ECFP4_1176	-1	3070	346
ECFP4_1618	-1	3067	345
ECFP4_0358	-1	3060	344
ECFP4_0011	1	3052	343
ECFP4_0264	1	3046	342
ECFP4_0530	-1	3044	341
ECFP4_0870	-1	3037	340
ECFP4_0691	1	3035	338
ECFP4_1206	-1	3035	338
ECFP4_1156	-1	3029	337
ECFP4_1698	1	3019	336
ECFP4_1140	-1	3012	335
ECFP4_1566	1	3009	334
ECFP4_0398	1	3005	333
ECFP4_1736	1	3003	332
ECFP4_1684	-1	3001	331
ECFP4_1220	-1	2991	330
ECFP4_0279	1	2986	329
ECFP4_0941	1	2985	328
ECFP4_0349	-1	2979	326
ECFP4_1916	1	2979	326
ECFP4_1330	1	2973	325
ECFP4_1734	-1	2969	324
ECFP4_0975	1	2965	323
ECFP4_0139	1	2964	322
ECFP4_1777	-1	2958	321
ECFP4_0442	1	2954	320
ECFP4_0705	1	2953	319
ECFP4_0894	1	2952	317
ECFP4_1376	1	2952	317
ECFP4_0476	-1	2948	316
ECFP4_1415	1	2946	315
ECFP4_0452	1	2937	313
ECFP4_1343	-1	2937	313
ECFP4_1175	-1	2936	312
ECFP4_0721	-1	2928	311
ECFP4_1945	1	2921	310
ECFP4_1733	1	2914	309
ECFP4_0645	-1	2913	306
ECFP4_1560	1	2913	306
ECFP4_1561	-1	2913	306
ECFP4_0955	1	2899	305
ECFP4_1962	1	2896	304
ECFP4_0893	-1	2890	303
ECFP4_1800	-1	2888	302
ECFP4_2046	1	2887	301
ECFP4_0749	1	2885	300
ECFP4_0178	1	2882	299
ECFP4_0071	1	2875	298
ECFP4_1757	1	2874	297
ECFP4_0934	-1	2873	296
ECFP4_0304	1	2861	295
ECFP4_1185	1	2853	294
ECFP4_0777	-1	2848	293
ECFP4_0662	1	2845	291
ECFP4_1942	-1	2845	291
ECFP4_0176	1	2837	290
ECFP4_0024	1	2822	289
ECFP4_1438	1	2818	288
ECFP4_1117	1	2816	287
ECFP4_1893	-1	2813	286
ECFP4_1251	-1	2812	285
ECFP4_0137	1	2807	283
ECFP4_1375	1	2807	283
ECFP4_1059	1	2804	282
ECFP4_1520	-1	2801	280
ECFP4_1788	1	2801	280
ECFP4_0927	-1	2783	278
ECFP4_1491	-1	2783	278
ECFP4_0135	1	2773	277
ECFP4_0459	-1	2771	276
ECFP4_0445	-1	2768	275
ECFP4_1559	1	2767	274
ECFP4_2003	1	2759	273
ECFP4_0154	-1	2746	272
ECFP4_0516	1	2738	271
ECFP4_0945	-1	2737	270
ECFP4_0962	1	2730	269
ECFP4_1576	1	2728	268
ECFP4_0188	1	2717	267
ECFP4_0735	-1	2716	266
ECFP4_0856	1	2715	265
ECFP4_1785	1	2714	264
ECFP4_0402	-1	2710	263
ECFP4_2006	1	2706	262
ECFP4_1580	-1	2705	261
ECFP4_0646	1	2703	259
ECFP4_1302	1	2703	259
ECFP4_1014	1	2702	258
ECFP4_1477	-1	2699	257
ECFP4_1848	-1	2697	256
ECFP4_0795	1	2694	255
ECFP4_1895	1	2686	254
ECFP4_1451	1	2685	253
ECFP4_0697	1	2642	252
ECFP4_0580	1	2641	251
ECFP4_1401	-1	2636	250
ECFP4_1240	-1	2634	249
ECFP4_1639	1	2633	248
ECFP4_0839	1	2630	247
ECFP4_0432	1	2626	245
ECFP4_0969	1	2626	245
ECFP4_1458	1	2618	244
ECFP4_1300	-1	2615	243
ECFP4_0660	1	2611	242
ECFP4_0055	1	2607	239
ECFP4_0420	1	2607	239
ECFP4_1356	1	2607	239
ECFP4_1345	1	2601	238
ECFP4_1429	1	2600	237
ECFP4_0698	1	2594	236
ECFP4_0848	-1	2590	235
ECFP4_1204	1	2581	234
ECFP4_1850	1	2580	233
ECFP4_1925	1	2577	232
ECFP4_1543	1	2565	231
ECFP4_1870	1	2561	230
ECFP4_0925	-1	2560	229
ECFP4_0709	1	2558	228
ECFP4_1902	1	2557	227
ECFP4_0939	1	2547	226
ECFP4_0774	1	2539	225
ECFP4_1553	-1	2534	224
ECFP4_1064	-1	2529	223
ECFP4_1490	1	2526	222
ECFP4_1843	-1	2523	221
ECFP4_0330	-1	2515	220
ECFP4_0202	1	2514	219
ECFP4_1400	1	2513	218
ECFP4_0844	-1	2506	217
ECFP4_0259	1	2490	216
ECFP4_1558	1	2481	215
ECFP4_0572	1	2479	214
ECFP4_0873	1	2478	213
ECFP4_0933	1	2476	212
ECFP4_0851	1	2464	211
ECFP4_1139	1	2461	210
ECFP4_1122	1	2456	209
ECFP4_1196	1	2455	208
ECFP4_0788	1	2453	207
ECFP4_0536	1	2452	206
ECFP4_0468	-1	2451	205
ECFP4_1896	1	2450	204
ECFP4_1194	1	2443	203
ECFP4_1131	1	2436	202
ECFP4_0480	1	2432	200
ECFP4_1658	1	2432	200
ECFP4_0869	-1	2428	199
ECFP4_1494	1	2423	198
ECFP4_0653	-1	2415	197
ECFP4_1177	1	2414	196
ECFP4_1130	1	2412	195
ECFP4_0818	-1	2409	194
ECFP4_1968	-1	2395	193
ECFP4_1620	-1	2390	192
ECFP4_0529	1	2381	191
ECFP4_0168	-1	2377	190
ECFP4_1237	-1	2371	189
ECFP4_1031	1	2367	188
ECFP4_1725	-1	2366	187
ECFP4_1880	1	2362	186
ECFP4_1687	1	2357	185
ECFP4_1606	1	2348	184
ECFP4_0337	1	2328	182
ECFP4_1713	-1	2328	182
ECFP4_1467	-1	2326	181
ECFP4_1798	-1	2324	180
ECFP4_1437	1	2314	179
ECFP4_1319	1	2307	178
ECFP4_0466	1	2298	177
ECFP4_0073	1	2295	176
ECFP4_1001	1	2291	175
ECFP4_2002	1	2285	174
ECFP4_1201	1	2279	173
ECFP4_0612	1	2276	172
ECFP4_0625	1	2273	171
ECFP4_1557	1	2272	170
ECFP4_0224	-1	2259	169
ECFP4_0737	1	2248	168
ECFP4_1040	-1	2245	167
ECFP4_0672	1	2243	166
ECFP4_1291	1	2232	165
ECFP4_0618	1	2227	163
ECFP4_0686	-1	2227	163
ECFP4_1469	1	2224	162
ECFP4_1219	-1	2219	161
ECFP4_1318	-1	2213	160
ECFP4_0443	1	2211	158
ECFP4_1636	-1	2211	158
ECFP4_1178	1	2210	157
ECFP4_0814	-1	2204	156
ECFP4_1525	-1	2196	155
ECFP4_0044	1	2193	154
ECFP4_1151	1	2189	153
ECFP4_1740	-1	2187	152
ECFP4_1158	1	2183	150
ECFP4_1370	-1	2183	150
ECFP4_1608	1	2173	149
ECFP4_0236	-1	2169	148
ECFP4_0525	-1	2168	146
ECFP4_1552	1	2168	146
ECFP4_1213	-1	2163	145
ECFP4_0477	1	2162	143
ECFP4_1988	1	2162	143
ECFP4_0902	-1	2143	142
ECFP4_0822	-1	2142	141
ECFP4_0756	-1	2122	139
ECFP4_1181	1	2122	139
ECFP4_0601	1	2116	138
ECFP4_1764	1	2091	137
ECFP4_0280	-1	2071	136
ECFP4_1304	-1	2069	135
ECFP4_1038	1	2066	134
ECFP4_0842	1	2056	133
